Container_ID,Declaration_Date,Declaration_Time,Trade_Regime,Origin_Country,Destination_Port,Destination_Country,HS_Code,Importer_ID,Exporter_ID,Declared_Value,Declared_Weight,Measured_Weight,Shipping_Line,Dwell_Time_Hours,Clearance_Status,was_zero_declared_value,was_zero_declared_weight,Weight_Difference,Weight_Difference_Percent,High_Weight_Anomaly,Value_Per_Weight,Log_Declared_Value,Log_Declared_Weight,HS_Chapter,HS_Heading,Excessive_Dwell_Flag,Importer_Shipment_Count,Exporter_Shipment_Count,Shipping_Line_Frequency,Declaration_Year,Declaration_Month,Declaration_Day,Declaration_Weekday,Declaration_Hour,Is_Business_Hours,Is_Night_Declaration,Weight_Risk_Score,Value_Risk_Score,Dwell_Risk_Score,Behavioral_Risk_Score,Temporal_Risk_Score,Integrity_Risk_Score,Route_Risk_Score,Normalized_Weight_Risk,Normalized_Value_Risk,Normalized_Dwell_Risk,Normalized_Route_Risk,Normalized_Behavioral_Risk,Normalized_Temporal_Risk,Normalized_Integrity_Risk,Total_Risk_Score,Risk_Label,Anomaly_Score,Anomaly_Flag
97061800,2020-01-01,20:16:40,Import,BE,PORT_30,UG,440890,QLRUBN9,0VKY2BR,372254.4,108.0,106.51,LINE_MODE_10,37.6,Clear,0,0,-1.4899999999999949,-1.3796296296296249,0,3446.799968085186,12.82733545682116,4.691347882229144,44,4408,0,4,1,28150,2020,1,1,2,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.1541432897477667,0
85945189,2020-01-01,09:43:49,Import,CN,PORT_40,CA,690722,7JD1S2X,8WDKMC6,375751.2,11352.0,11541.578,LINE_MODE_40,51.7,Clear,0,0,189.57799999999952,1.6699964763918211,0,33.09999999708421,12.836685162554836,9.337237305164534,69,6907,0,3,5,15592,2020,1,1,2,9,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.1880965857356085,0
77854751,2020-01-01,06:15:11,Import,CN,PORT_20,BA,620822,WI9O3I5,4DT3246,5353.02,20.7,20.404,LINE_MODE_40,31.3,Clear,0,0,-0.2959999999999994,-1.429951690821253,0,258.599987507247,8.585602959598162,3.077312260546414,62,6208,0,2,2,15592,2020,1,1,2,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.1984807194248061,0
46925060,2020-01-01,04:04:20,Import,VN,PORT_40,MN,940350,6LI9721,PKUOG2P,1477645.4,9218.0,8814.252,LINE_MODE_40,11.8,Clear,0,0,-403.7479999999996,-4.379995660663914,0,160.2999999826101,14.205961109648085,9.129021850798594,94,9403,0,1,8,15592,2020,1,1,2,4,0,1,0,0,0,3,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.13,Medium,0.1597302288460942,0
34131149,2020-01-01,03:36:29,Import,VN,PORT_20,LV,71080,RZ871V1,1HMVIVH,6364800.0,24000.0,24880.8,LINE_MODE_10,70.9,Clear,0,0,880.7999999999993,3.669999999999997,0,265.19999998895,15.666293524755906,10.085850775128716,7,710,0,5,11,28150,2020,1,1,2,3,0,1,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03,Low,0.1544916260704626,0
38459034,2020-01-01,23:27:54,Import,CN,PORT_40,CR,851712,2EIESGV,WLTGD61,29078.8,2.0,2.412,LINE_MODE_10,98.9,Low Risk,0,0,0.4119999999999999,20.599999999999994,1,14539.392730303633,10.277799054044714,1.0986122886681098,85,8517,1,2,7,28150,2020,1,1,2,23,0,1,2,0,2,0,2,0,0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.43,Critical,-0.0183677309234425,1
69602841,2020-01-01,02:43:21,Import,DE,PORT_40,RS,391000,US268D0,BXMTYM2,10765.0,25.0,24.768,LINE_MODE_40,34.6,Clear,0,0,-0.2319999999999993,-0.9279999999999972,0,430.5999827760007,9.284148299120902,3.258096538021482,39,3910,0,4,60,15592,2020,1,1,2,2,0,1,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03,Low,0.1707171437066571,0
94070719,2020-01-01,08:49:19,Import,CN,PORT_10,CR,220870,EAPRJGG,NTDG5EH,78900.0,500.0,500.85,LINE_W6UCD9,41.8,Clear,0,0,0.8500000000000227,0.1700000000000045,0,157.7999996844,11.275949181024878,6.2166061010848646,22,2208,0,34,1,2251,2020,1,1,2,8,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.1479226373151628,0
28079013,2020-01-01,03:31:33,Import,US,PORT_13,HU,853670,OQGTRGJ,B6KLLXR,241.58,0.2,0.201,LINE_HE8ATP,43.8,Clear,0,0,0.001,0.5000000000000004,0,1207.893960530197,5.491331552880735,0.1823215567939546,85,8536,0,19,1,28,2020,1,1,2,3,0,1,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03,Low,0.1031299285451186,0
66853714,2020-01-01,01:32:34,Import,CN,PORT_30,SI,940180,FI22XB4,BXMTYM2,2463.6,2053.0,2010.298,LINE_MODE_40,27.0,Clear,0,0,-42.702,-2.079980516317584,0,1.1999999994154895,7.809784801504023,7.627544390488503,94,9401,0,3,60,15592,2020,1,1,2,1,0,1,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03,Low,0.1531084105103201,0
